"","s.HK_Aug","s.HK_Feb","s.HK_May","s.HK_Nov","s.LT_Aug","s.LT_Feb","s.LT_May","s.LT_Nov","s.SK_Aug","s.SK_Feb","s.SK_May","s.SK_Nov","index","stat","p.value"
"id349",0,0,0,0,1,0,0,0,1,0,0,0,54,0.487097220774194,0.008
"id350",1,0,1,0,0,0,0,0,0,0,1,1,379,0.603512024258727,0.001
"id351",0,1,1,0,0,0,0,0,0,1,0,0,140,0.594537847773252,0.001
"id352",0,0,1,0,0,0,0,0,0,0,1,0,41,0.455950487879738,0.007
"id354",0,1,0,0,0,1,0,0,0,0,0,0,27,0.815808355245502,0.001
"id355",0,1,0,1,0,0,0,0,0,0,0,0,25,0.613954364237248,0.001
"id356",0,0,0,1,0,0,0,0,0,0,0,0,4,0.664596255307367,0.001
"id357",0,0,0,1,0,0,0,0,0,0,0,0,4,0.75076139360554,0.001
"id358",0,0,1,1,0,0,0,0,0,0,1,0,185,0.392641255491899,0.04
"id359",0,0,0,0,0,0,0,0,1,0,0,1,75,0.458806828707528,0.002
"id360",0,0,0,1,0,0,0,1,1,0,0,1,716,0.653772833162423,0.001
"id361",0,0,0,1,0,1,0,0,0,0,0,0,44,0.44882048234503,0.013
"id362",0,0,1,0,0,0,0,0,0,0,0,0,3,0.438372671638518,0.003
"id363",0,0,0,0,0,0,0,0,0,0,0,1,12,0.89341952012435,0.001
"id364",1,0,0,1,1,0,0,0,1,0,0,0,383,0.558801681034169,0.001
"id365",0,0,0,0,0,0,0,0,0,0,1,0,11,0.582416204350267,0.001
"id366",0,0,0,1,0,0,0,0,0,0,0,0,4,0.56288288062437,0.001
"id367",0,0,1,1,0,0,0,0,1,0,1,1,1388,0.524904434408862,0.001
"id368",0,0,0,0,0,0,0,0,0,0,0,1,12,0.520460115960328,0.003
"id369",0,0,1,0,0,0,0,0,0,0,0,0,3,0.654823708134437,0.001
"id37",0,0,1,0,0,0,0,0,0,0,0,0,3,0.795721286814643,0.001
"id370",0,0,0,0,0,0,0,0,1,0,0,0,9,0.487767246016413,0.004
"id372",0,0,0,0,0,0,0,0,1,0,1,0,74,0.567991646198174,0.001
"id373",0,0,1,0,0,0,0,0,0,1,0,0,40,0.601515547957877,0.001
"id374",0,0,0,1,0,0,0,0,0,0,0,0,4,0.382184476620547,0.002
"id375",0,0,0,0,0,0,0,1,0,0,0,0,8,0.356945791934053,0.046
"id376",0,0,1,1,0,0,0,1,1,0,1,0,1381,0.47370289589232,0.002
"id377",0,0,0,0,0,1,0,0,0,0,0,0,6,0.68320633203792,0.001
"id378",0,0,0,1,0,0,0,1,0,0,1,1,719,0.662306591120078,0.001
"id379",1,0,0,0,1,0,1,0,0,0,0,0,107,0.663608776688932,0.001
"id38",1,0,0,0,1,0,0,1,0,0,0,0,108,0.521613380031497,0.001
"id380",0,0,0,0,1,0,0,0,0,0,0,0,5,0.780412805187896,0.001
"id381",0,0,0,0,0,1,0,0,0,0,0,0,6,0.5400295830063,0.001
"id382",1,0,0,0,1,1,0,0,0,0,0,0,106,0.673070789325057,0.001
"id383",1,0,0,0,1,0,0,0,1,0,0,0,109,0.689755413666737,0.001
"id384",0,0,0,0,1,0,1,0,0,0,0,0,52,0.670500487547089,0.001
"id385",0,0,0,1,0,0,0,1,0,0,0,1,236,0.441070781297198,0.013
"id386",0,0,0,0,1,0,0,0,0,0,0,0,5,0.530806188386495,0.001
"id387",0,0,0,0,0,1,0,0,0,0,0,0,6,0.597904170077669,0.001
"id388",0,1,0,0,0,0,0,0,0,0,0,0,2,0.726333913339924,0.001
"id389",0,0,0,0,0,0,1,0,0,0,0,0,7,0.75655815345287,0.001
"id39",0,0,0,0,0,0,0,0,0,0,1,0,11,0.372742189880612,0.005
"id390",0,0,0,0,0,0,1,0,0,0,0,0,7,0.785472747592091,0.001
"id391",0,0,0,1,0,0,0,0,0,0,0,1,50,0.71941053542504,0.001
"id392",0,0,0,1,1,0,1,0,0,0,0,0,216,0.662665445412354,0.001
