Network	Connectance	Average_Degree	Average_Path_Length	Diameter	Edge_Connectivity	Clustering_Coefficient	Number_of_Clusters	Betweenness_Centralization	Degree_Centralization
SK_Feb_SKSha2Feb	0.105135658914729	13.4573643410853	2.53920024789974	7.1601	0	0.573258341998299	8	0.113857456236617	0.254239341085271
SK_Feb_SKSha3Feb	0.0989677419354839	12.272	2.61033377752029	8.0536	0	0.55938242280285	7	0.0866441353220407	0.239741935483871
SK_Feb_SKBlu1Feb	0.115904139433551	15.6470588235294	2.46492665474061	7.3007	0	0.615996122152206	7	0.0575362900726614	0.261873638344227
SK_May_SKBlu1May	0.0456450861667443	5.15789473684211	3.26578198791871	7.8679	0	0.390134529147982	8	0.154136861950476	0.175593851886353
SK_May_SKBlu2May	0.0392248972401644	5.09923664122137	3.23828316554808	8.0246	0	0.372188905547226	6	0.142410313665263	0.153082795067528
SK_May_SKBlu3May	0.037593984962406	5	3.37635853534712	8.5674	0	0.371028744326778	6	0.122523857969585	0.150375939849624
SK_May_SKLKW2May	0.0368183769858308	5.00729927007299	3.26245665095573	8.6055	0	0.367976496511201	8	0.0945566163995739	0.147005152425934
SK_May_SKLKW3May	0.0379306475143082	5.04477611940298	3.34418903119451	8.5674	0	0.371004566210046	4	0.117269867123927	0.150039277297722
SK_May_SKSha1May	0.0446886446886447	4.64761904761905	3.73682922252009	10.9435	0	0.417419012214551	6	0.175701222652686	0.176465201465201
SK_May_SKSha2May	0.035970390932223	4.71212121212121	3.64424001015486	10.8844	0	0.359665427509294	5	0.190384595823265	0.131968540365487
SK_May_SKLKW1May	0.0362840162652487	5.00719424460432	3.32391034220532	9.5577	0	0.368942731277533	6	0.0749407793814765	0.144875404024606
SK_May_SKSha3May	0.0387551379917792	5.0381679389313	3.51956284516407	11.0883	0	0.393592677345538	7	0.124362415221672	0.153552554315913
SK_Nov_SKBlu1Nov	0.0556946929039952	7.18461538461538	2.80597104945717	7.2439	0	0.481633322400787	9	0.119744882817269	0.1536076326774
SK_Nov_SKBlu2Nov	0.0563679540057493	7.10236220472441	2.78493867218282	8.0804	0	0.485102109139605	12	0.112112546952557	0.157917760279965
SK_Nov_SKBlu3Nov	0.0581587301587302	7.26984126984127	2.84500405522001	8.0662	0	0.482098251457119	9	0.126571094340635	0.15784126984127
SK_Nov_SKLKW1Nov	0.057843137254902	7.80882352941176	2.60062131446828	6.5111	0	0.486584384223236	11	0.085383336527485	0.156971677559913
SK_Nov_SKLKW2Nov	0.0553656869446343	7.30827067669173	2.85168275807722	8.7207	0	0.476983503534957	11	0.0866863709026217	0.14917976760082
SK_Nov_SKLKW3Nov	0.0573106283029947	7.45038167938931	2.67162022214963	7.1004	0	0.475307680324038	11	0.0908495618995518	0.150381679389313
SK_Nov_SKSha1Nov	0.0591746031746032	7.3968253968254	2.60275750977109	7.1127	0	0.497245179063361	13	0.0754021722148467	0.156825396825397
SK_Nov_SKSha3Nov	0.0614692653673163	7.06896551724138	2.71951316120908	6.3707	0	0.497679814385151	11	0.0980506672226671	0.164617691154423
SK_Nov_SKSha2Nov	0.0614420898307344	7.49593495934959	2.61633483124764	7.1127	0	0.497617217524981	10	0.0791167941051656	0.159869385579102
