Sample	allGfishSid	Value	SxR
LTPC2May	id371	0.108695652	LT_May
LTPC2May	id372	0.108695652	LT_May
LTPC3May	id345	0.108695652	LT_May
LTCC1Nov	id346	0.108695652	LT_Nov
LTCC3Nov	id341	0.108695652	LT_Nov
LTCC3Nov	id368	0.108695652	LT_Nov
LTCMW1Nov	id367	0.108695652	LT_Nov
LTCMW1Nov	id373	0.108695652	LT_Nov
LTCMW2Nov	id373	0.108695652	LT_Nov
LTCMW3Nov	id341	0.108695652	LT_Nov
LTPC1Nov	id339	0.108695652	LT_Nov
LTPC1Nov	id371	0.108695652	LT_Nov
LTPC1Nov	id372	0.108695652	LT_Nov
SKBlu1Aug	id346	0.108695652	SK_Aug
SKBlu2Aug	id349	0.108695652	SK_Aug
SKBlu2Aug	id353	0.108695652	SK_Aug
SKBlu2Aug	id374	0.108695652	SK_Aug
SKBlu3Aug	id377	0.108695652	SK_Aug
SKLKW1Aug	id345	0.108695652	SK_Aug
SKLKW1Aug	id346	0.108695652	SK_Aug
SKLKW2Aug	id341	0.108695652	SK_Aug
SKLKW2Aug	id345	0.108695652	SK_Aug
SKLKW3Aug	id362	0.108695652	SK_Aug
SKLKW3Aug	id374	0.108695652	SK_Aug
SKSha1Aug	id345	0.108695652	SK_Aug
SKSha1Aug	id347	0.108695652	SK_Aug
SKSha1Aug	id356	0.108695652	SK_Aug
SKSha2Aug	id361	0.108695652	SK_Aug
SKSha3Aug	id369	0.108695652	SK_Aug
SKBlu1Feb	id364	0.108695652	SK_Feb
SKBlu1Feb	id371	0.108695652	SK_Feb
SKBlu2Feb	id361	0.108695652	SK_Feb
SKBlu3Feb	id339	0.108695652	SK_Feb
SKBlu3Feb	id369	0.108695652	SK_Feb
SKLKW1Feb	id374	0.108695652	SK_Feb
SKLKW1Feb	id375	0.108695652	SK_Feb
SKSha1Feb	id339	0.108695652	SK_Feb
SKSha1Feb	id369	0.108695652	SK_Feb
SKSha1Feb	id375	0.108695652	SK_Feb
SKSha3Feb	id372	0.108695652	SK_Feb
SKBlu1May	id361	0.108695652	SK_May
SKBlu1May	id374	0.108695652	SK_May
SKBlu2May	id348	0.108695652	SK_May
SKBlu3May	id368	0.108695652	SK_May
SKBlu3May	id373	0.108695652	SK_May
SKLKW1May	id361	0.108695652	SK_May
SKLKW2May	id344	0.108695652	SK_May
SKLKW3May	id358	0.108695652	SK_May
SKSha1May	id363	0.108695652	SK_May
SKSha1May	id364	0.108695652	SK_May
SKSha1May	id371	0.108695652	SK_May
SKSha2May	id371	0.108695652	SK_May
SKSha3May	id351	0.108695652	SK_May
SKSha3May	id364	0.108695652	SK_May
SKBlu1Nov	id347	0.108695652	SK_Nov
SKBlu2Nov	id372	0.108695652	SK_Nov
SKBlu2Nov	id377	0.108695652	SK_Nov
SKLKW1Nov	id351	0.108695652	SK_Nov
SKLKW1Nov	id372	0.108695652	SK_Nov
SKLKW2Nov	id362	0.108695652	SK_Nov
SKLKW3Nov	id353	0.108695652	SK_Nov
SKSha1Nov	id362	0.108695652	SK_Nov
SKSha2Nov	id364	0.108695652	SK_Nov
HKSW1Aug	id402	0.122699387	HK_Aug
LTPC1Aug	id402	0.122699387	LT_Aug
