#OTU ID	SKBlu1Aug	SKBlu2Aug	SKBlu3Aug	SKLKW1Aug	SKLKW2Aug	SKLKW3Aug	SKSha1Aug	SKSha2Aug	SKSha3Aug
id167	15	1521	0	15	3154	21	8	0	0
id168	0	0	0	0	0	0	0	0	0
id169	0	0	0	0	0	0	0	0	0
id17	1236	666	696	1832	5751	2745	675	1966	1801
id170	26	12	0	3023	3	10	270	0	0
id171	0	3	0	0	0	0	0	2	3
id172	16	1992	0	17	24	28	0	0	0
id173	0	0	4569	0	0	0	0	0	11
id174	0	0	0	0	0	0	0	0	4
id175	0	0	0	0	0	0	0	0	0
id176	0	0	0	0	0	0	0	0	0
id177	0.769230769	0	0	0	0	0	0	0	1.538461538
id178	54.61538462	34.61538461	79.23076923	37.6923077	49.23076923	14.61538462	33.84615384	45.38461538	80.00000001
id179	3.5	2	4	1.5	1	0	5	4.5	6.5
id18	1084	1185	1063	1286	6838	1477	482	791	186
id180	0.598802395	0.598802395	0.598802395	0.598802395	0	1.19760479	1.19760479	1.796407186	0.598802395
id181	0	0	0	0	1.5	0	0	0	2.5
id182	1.5	8.628205128	0.854700855	2.354700855	5.273504274	12.82051282	1.5	0	2.5
id183	0	0	0	0	0	0	0	0	0
id184	3	6	5.5	0.5	2	2.5	7	13.5	11
id185	13.625	25.875	28.5	10.8125	9	41.25	32.1875	45.8125	48.1875
id186	17.0940171	26.49572649	29.91452992	13.67521368	5.128205129	28.20512821	16.23931624	26.49572649	33.33333334
id187	0.5	1	2.5	0.5	1.5	0	4.5	5.5	4
id188	2.5	5.833333333	5.416666666	2.5	1.25	7.5	0	2.5	0
id189	9.166666667	8.75	6.25	0.833333333	2.5	0.833333333	5	6.25	7.5
id19	183	537	1177	1584	570	1274	147	112	267
id190	0	0	0	0	0	0	0	0	0
id191	18	12.5	20	11.5	8.5	22.5	0	0.5	7.5
id192	0	0	0	0	0	0	0	0	0
id193	0	0	0	0	0	0	0	0	0
id194	2.564102564	2.564102564	3.418803418	5.128205128	1.709401709	0	10.25641026	9.401709402	4.273504274
id195	0	0	0	0	0	0	0	0	0
id196	180.3418803	126.4957265	242.7350427	166.6666667	119.6581196	106.8376069	403.4188034	361.5384616	369.2307693
id197	0	0.625	0	0	0	0	0	0	0
id198	70.3125	125.3125	136.25	338.125	336.25	643.125	15.3125	17.1875	6.25
id199	65.6	128.8	98.8	102.2	100	212.4	30.2	34.2	23.8
id2	1	6	0	19	1	0	1	4	9
id20	5	7	28	1	25	10	16	22	9
id200	0.227272727	1.363636364	0	0.454545455	0.681818182	4.545454545	1.590909091	0.227272727	0.681818182
id201	19.6875	29.6875	31.25	24.0625	20.3125	57.1875	16.875	16.25	20.9375
id202	370.9375	706.25	704.6875	441.5625	411.5625	583.75	194.375	198.75	126.5625
id203	35.9375	49.6875	50	21.875	27.5	31.25	54.0625	56.875	33.75
id204	0	0	0	0	0	0	0	0	0
id205	0.718132855	0	2.513464991	2.333931777	2.154398564	3.231597846	1.436265709	1.615798923	0
id206	39.0625	42.1875	34.6875	22.8125	26.5625	25	56.875	55.9375	61.5625
id207	14.52991453	14.52991453	22.22222222	9.401709402	8.547008547	10.25641026	13.67521368	25.64102564	14.52991453
id208	158.508547	221.482906	205.2435898	119.7905983	120.5641026	143.465812	174.58547	257.7820512	179.7948718
id209	2.984270631	20.07828773	15.79041873	2.564102564	3.418803419	10.25641026	10.67657833	15.31279178	13.21195145
id21	4282	1510	1978	758	644	1461	1196	3732	1287
id210	10.66666667	17.33333333	15	7.333333333	4.999999999	6	24	61	40.66666667
id211	2	0	6	0	5	1	8	5	14
id212	0	0	0	0	0	0	0	0	0
id213	22.38095238	18.85714286	16.38095238	14.28571429	11.42857143	20.66666667	26.57142857	29.9047619	38.38095238
id214	0	0	0	0	0	0	1.904761905	0	0.952380952
id215	0	0	0	3	4	0	0	0	0
id216	0	0	0	2	4	0	0	0	1
id217	268.2744283	245.8419958	184.7609147	254.4282745	285.051975	325.1143451	379.1476092	321.6632016	370.8939709
id218	5160.386473	4157.971014	3862.318841	4618.84058	4643.478261	4033.816425	5776.811594	5505.797101	5371.497585
id219	0	0	0	0	0.769230769	0	0	0	0.769230769
id22	2	4	2	2	8	5	6	245	214
id220	0	0	0	0	0	0	0	0	0
id221	0	0	0.952380952	0	0	1.428571429	2.857142857	1.428571429	0
id222	0.476190476	1.904761905	0.952380952	2.380952381	2.857142857	3.80952381	0	1.428571429	0
