#OTU ID	SKBlu1Feb	SKBlu2Feb	SKBlu3Feb	SKLKW1Feb	SKLKW2Feb	SKLKW3Feb	SKSha1Feb	SKSha2Feb	SKSha3Feb
id39	0	0	0	0	0	0	0	0	0
id390	0	0.4	2	0.4	0	0	0	0	0.4
id391	0.4	1.2	2	2.8	3.2	0.8	0.4	0.8	0
id392	2.4	0	2.4	6.8	1.6	1.6	0.8	0.8	1.2
id393	5.714285714	4.285714286	7.142857143	2.857142857	0	0	0	0	0
id394	765.7142857	251.4285714	400	125.7142857	105.7142857	107.1428571	724.2857143	960	1297.142857
id395	245.7142857	239.9999999	218.5714286	112.8571429	58.57142857	45.71428572	164.2857143	207.1428571	331.4285714
id396	35.71428571	12.85714286	7.142857143	0	0	1.428571429	17.14285714	42.85714286	54.28571429
id397	401.4285715	72.85714286	144.2857143	34.28571429	21.42857143	14.28571429	287.1428572	584.2857142	869.9999999
id398	97.14285714	60	75.71428571	12.85714286	30	21.42857143	84.28571429	138.5714286	157.1428572
id399	68.57142857	98.57142857	70	1.428571429	4.285714286	5.714285714	15.71428571	34.28571429	15.71428571
id4	2	0	0	0	0	0	0	0	0
id40	0	0	0	0	0	0	0	0	0
id400	0	0	1.428571429	2.857142857	0	0	0	1.428571429	0
id401	228.3333333	458.3333334	410	120	93.33333333	75	71.66666667	66.66666667	100
id402	0	0	0	0	0	0.061349693	0	0	0.061349693
id403	0	0	0	0	0	0	0	0	0
id404	0	0	0	0	0	0	0	0	0
id405	0	0	0	0	0	0	0	0	0
id406	31.42857143	0	0	7.142857143	2.857142858	0	0	0	0
id407	75.71428571	82.85714287	75.71428571	81.42857142	34.28571428	11.42857143	15.71428571	5.714285714	8.571428572
id41	0	0	0	0	0	0	0	0	0
id42	2109	12907	50	486	96	256	72	247	198
id43	16	0	0	0	0	0	8	17	10
id44	0	0	0	0	0	0	0	0	0
id45	1630	22	15	39	0	11	0	0	0
id46	6	23	102	4631	3	14	56	507	451
id47	0	0	0	0	0	0	0	0	0
id48	0	0	0	20	0	0	0	6	5
id49	0	0	0	0	0	0	0	0	0
id5	0	0	0	0	2	0	0	0	0
id50	1397	158	665	1242	157	7242	2	40	32
id51	0	46	1	0	2354	0	8	32	9
id52	0	0	1	48	2	0	294	2275	3308
id53	0	38	1	0	167	0	98	9797	95
id54	0	0	0	0	0	0	0	0	0
id55	0	0	0	0	0	0	0	0	0
id56	0	0	0	0	0	0	0	0	0
id57	0	0	0	0	0	1	83	0	0
id58	0	0	0	0	1	0	0	0	0
id59	0	0	0	0	0	0	49	0	0
id6	1042	5424	3686	8959	754	604	13049	15585	15795
id60	1	0	0	0	0	0	250	466	186
id61	0	0	0	0	0	0	18	3940	23
id62	0	0	0	0	0	0	0	0	0
id63	0	0	0	7	0	0	2	1	4
id64	0	49	0	0	5	0	7	11	9
id65	0	0	0	0	2	0	1	0	0
id66	14	98	1	0	0	1	7	38	6
id67	27	1510	1341	190	0	484	0	47	1
id68	439	14	1979	22	0	3	0	0	0
id69	0	0	0	0	0	0	0	0	0
id7	0	0	0	0	0	0	4	0	0
id70	1945	422	80	1256	4	224	22	710	339
id71	9	1	1	384	0	1	7	255	218
id72	2960	521	30	1840	4	227	18819	6006	6690
id73	57	674	18	122	288	94	4	16	1
id74	0	0	0	0	0	0	0	0	0
id75	21	296	4194	357	1991	255	1985	12128	9093
id76	0	0	0	0	0	0	0	0	0
id77	0	0	0	0	0	0	0	0	0
id78	0	0	0	0	2174	0	7	12	915
id79	4	50	15	114	0	9253	0	0	0
id8	0	3	0	0	0	0	2	0	0
id80	0	0	0	0	0	0	0	0	0
id81	0	0	0	0	0	0	0	0	0
id82	0	0	0	0	0	0	0	0	0
id83	0	0	0	0	0	0	0	0	0
id84	0	0	0	0	64	0	0	0	0
id85	0	0	0	0	0	0	0	0	0
id86	2	6	4	23	0	8	0	1	0
id87	0	0	0	0	0	0	0	0	0
id88	0	0	0	0	0	0	0	1	0
id89	0	0	0	0	0	0	0	0	0
id9	11	16	50	7	9	7	1	0	0
id90	0	0	0	14	0	0	0	0	5
id91	0	0	0	0	0	0	0	3	0
id92	0	0	0	0	0	0	0	0	0
id93	0	0	0	0	0	0	0	0	0
id94	0	0	0	0	0	0	0	0	0
id95	0	0	0	0	0	0	0	0	0
id96	2	7	753	141	21	48	7	13	3
id97	0	8	0	0	121	0	0	0	0
id98	0	0	0	0	0	0	0	0	0
id99	0	0	7	19	78	0	0	1	3
