#OTU ID	HKBea1Nov	HKBea2Nov	HKBea3Nov	HKSW1Nov	HKSW2Nov	HKSW3Nov	HKSta1Nov	HKSta2Nov	HKSta3Nov
id322	11.42857143	0	0	0	0	1.428571429	598.5714286	0	215.7142857
id323	1785.714286	508.5714286	11.42857143	2.857142857	0	0	2.857142858	18.57142857	1.428571429
id324	0	0	0	0.588235294	0	0	0	0	0
id325	0	0.294117647	0.588235294	0.588235294	0	0	0	0	4.705882353
id326	0.294117647	0	0.294117647	0	0	0.294117647	0	0.588235294	0
id327	0	0	0	0.588235294	0	0	0	0	0
id328	0.882352941	0	4.117647059	1.176470588	0	0.294117647	0	0	0
id329	2.352941176	0.294117647	1.176470588	0.588235294	0	0	0.294117647	5.294117647	0.294117647
id33	663	652	2720	54	0	271	314	262	645
id330	0	0	0	0	0	0	0	0	0
id331	0.294117647	2.94117647	3.529411765	0.294117647	0	1.176470588	0	0	0
id332	0	0	0	0	0	0	0	0	0
id333	1517.777778	1528.888889	1832.222222	2312.222222	1147.777778	3523.333333	2114.444444	1206.666667	2593.333333
id334	7.777777778	1.111111111	43.33333333	21.11111111	0	24.44444444	7.777777778	8.888888889	1.111111111
id335	3182.222223	3258.888889	5306.666667	5198.888889	12486.66667	6981.111111	3536.666666	2114.444444	5705.555555
id336	0	5.555555556	6.666666667	22.22222222	0	8.888888889	0	3.333333333	0
id337	12.22222222	6.666666667	31.11111111	60	0	66.66666667	22.22222222	60	53.33333333
id338	26.66666667	5.555555556	26.66666667	55.55555556	0	126.6666666	1.111111111	85.55555556	65.55555556
id339	1.032608696	0.489130435	1.793478261	1.630434783	0	0.760869565	1.52173913	4.945652174	0.27173913
id34	0	0	0	0	0	0	0	0	0
id340	0.706521739	0	0	0	0	0	0	0	0
id341	3.532608696	0.054347826	1.467391304	0.923913043	0	0	24.83695652	65.92391304	5.869565217
id342	53.09782609	61.90217391	55.65217391	54.29347826	0.217391304	39.7826087	12.88043479	40.70652174	23.36956522
id343	200.4891304	311.4130435	346.847826	434.7282609	0.054347826	216.847826	282.8260869	516.6304348	215.5978261
id344	2.065217391	0	0.326086957	0	0	0	0.27173913	0.97826087	0.054347826
id345	0.434782609	0.054347826	0.434782609	0.489130435	0	0.217391304	0.054347826	0.108695652	0
id346	0.489130435	6.195652174	2.010869565	0	0	0.108695652	0	0	0
