#OTU ID	LTCC1Nov	LTCC2Nov	LTCC3Nov	LTCMW1Nov	LTCMW2Nov	LTCMW3Nov	LTPC1Nov	LTPC2Nov	LTPC3Nov
id352	2.608695652	0.760869565	1.195652174	1.304347826	2.77173913	0	5.706521739	2.336956522	0.27173913
id353	0	0.054347826	16.63043478	0.652173913	0	0	0	0	0
id354	13.58695652	7.663043478	1.847826087	36.68478261	1.141304348	0.326086957	6.467391304	45.2173913	0.706521739
id355	50.05434783	36.41304348	3.097826087	6.358695652	14.56521739	0	22.77173914	11.90217391	0.217391304
id356	9.076086957	1.195652174	7.880434783	0.217391304	0.760869565	0	8.097826087	2.010869565	0
id357	60.86956522	87.88043479	19.56521739	11.25	6.576086955	14.56521739	40.59782609	24.67391304	39.13043478
id358	0.489130435	1.032608696	0	0	0.054347826	0	0.054347826	0.163043478	0.054347826
id359	3.260869565	7.77173913	8.206521738	7.06521739	8.423913042	0.326086957	5.217391304	8.097826086	1.684782609
id36	0	0	10	429	0	0	130	17	57
id360	57.06521739	67.88043478	231.1413044	25.65217392	13.20652174	70.54347826	29.51086957	56.95652174	30.43478261
id361	0	1.032608696	0.217391304	0.054347826	0	0	0	0.217391304	0
id362	0.054347826	0	0	0.434782609	0.326086957	0	0	0	0
id363	3.478260869	14.40217391	3.695652174	4.619565217	9.184782608	0	1.25	2.336956522	0.163043478
id364	4.456521739	0.489130435	1.630434783	0.652173913	0.27173913	0	2.391304347	3.043478261	0
id365	0.054347826	0	0.217391304	0.434782609	0.815217391	0	5.326086955	1.956521739	0.054347826
id366	0.543478261	0.163043478	1.467391304	0.054347826	0.054347826	0	2.065217391	1.25	0
id367	1.032608696	0.97826087	2.5	0.108695652	1.467391305	0	1.413043478	1.467391304	0.217391304
id368	0.217391304	8.913043478	0.108695652	0.054347826	0.054347826	0	0	0.760869565	0
id369	0	0	0	0	0	0	0.054347826	0	0
id37	12	4	0	2	0	0	15	2	120
id370	1.52173913	17.98913044	8.423913043	6.684782608	5.054347826	0	1.684782608	11.25	0
id371	0.054347826	0	9.619565217	0.380434783	0.326086957	0	0.108695652	0	0.054347826
id372	0	0	0	0.217391304	0.27173913	0	0.108695652	0.597826087	0
id373	0.163043478	0	0	0.108695652	0.108695652	0	1.413043478	0.489130435	0
id374	0.27173913	0.326086957	3.586956522	0	0	0	0.760869565	3.206521739	0.054347826
id375	0.27173913	180.4891304	0.217391304	2.663043477	0.652173912	17.82608696	0	2.663043478	13.5326087
id376	1.684782609	1.902173913	16.95652174	1.195652174	0.706521739	0	0.978260869	1.141304348	0.054347826
id377	0	0	1.902173913	0.054347826	0	0	0.163043478	0.380434783	0
id378	103.5869565	203.5326087	67.33695652	23.42391304	68.80434783	23.85869566	87.22826087	50.97826087	22.60869566
id379	6.4	0	3.2	8.4	10	220	2	6.4	0
id38	47826	28233	18642	25	1350	9993	39259	25915	20
id380	8.4	0	0	4.8	1.2	0	0.8	0	0
id381	3.2	47.6	21.6	31.2	24.4	67.6	13.6	8.4	0
id382	13.2	14.8	15.2	16.8	14.4	0.4	6	0.8	0
id383	0	0	0	0.4	0	0	0	2.4	0
id384	6.8	80.4	14.8	42.4	20	0	4.4	7.6	0
id385	8.4	20.8	3.2	3.2	4.8	228.8	28	2.8	2.4
id386	0	0	0.4	2	0.4	0.4	0	2	0
id387	0	0	0	0	0	0	0	2	0
id388	0.4	0	0	0	0	40.8	0.4	2	0
id389	42.8	59.6	30.8	111.2	74.8	40	4	15.2	0
id39	0	0	0	0	0	0	0	0	0
id390	0	0	0	0.4	0	0	0	0.4	0
id391	46.4	50.8	132	45.6	90.8	436.4	50	35.2	3.6
id392	59.6	16	36.8	70.4	130.4	246	43.6	13.2	0
id393	0	0	1.428571429	0	5.714285714	0	0	0	0
id394	177.1428572	8.571428571	35.71428572	31.42857143	17.14285714	0	237.1428571	107.1428571	0
id395	148.5714286	155.7142857	87.14285715	174.2857143	117.1428572	0	245.7142857	252.8571429	0
id396	0	0	1.428571429	8.571428571	8.571428571	0	1.428571429	0	0
id397	1.428571429	0	11.42857143	18.57142857	2.857142857	0	5.714285714	25.71428572	0
id398	14.28571429	4.285714286	5.714285714	8.571428572	20	0	98.57142857	11.42857143	0
id399	0	0	0	0	0	0	0	1.428571429	0
id4	0	0	0	0	2	0	20	3	4
id40	0	0	0	0	0	0	0	0	0
id400	0	0	140	1.428571429	4.285714286	0	10	0	0
id401	215	263.3333333	91.66666667	148.3333333	51.66666667	1.666666667	290	205	5
id402	0	0	0	0	0	0	0	0	0
id403	0	1.428571429	0	0	0	0	12.85714286	11.42857143	582.8571429
id404	0	0	0	0	0	0	0	60	0
id405	0	0	0	0	1.428571429	0	4.285714286	1.428571429	5002.857143
id406	2.857142857	0	4.285714286	1.428571429	7.142857144	0	2.857142858	5.714285716	7.142857144
id407	95.71428572	40	21.42857143	61.42857143	35.71428572	241.4285714	570	738.5714286	13850
id41	0	0	0	0	0	0	0	0	0
id42	0	0	4874	1	0	285	87	62	0
id43	0	0	0	0	0	0	0	0	0
id44	0	0	0	0	0	0	4248	0	0
id45	0	0	0	0	0	0	0	0	0
id46	0	0	62	0	0	339	0	26	0
id47	0	0	0	0	0	0	117	0	0
id48	0	0	0	0	0	0	0	0	0
id49	0	0	0	0	0	0	61	0	0
id5	0	0	0	0	0	0	3	1	2
id50	0	10	0	2	869	1	64	0	0
id51	0	0	0	0	0	0	25	0	0
id52	0	0	0	0	0	1	0	0	0
id53	0	0	25	0	0	0	0	0	0
id54	0	0	0	0	0	0	166	0	0
id55	0	0	0	0	0	0	0	0	0
id56	0	0	0	0	0	0	103	0	0
id57	0	0	0	0	0	0	0	0	0
id58	0	0	0	0	0	0	0	0	0
id59	0	0	0	2608	0	0	0	0	0
id6	2744	2926	281	7650	3041	4931	4703	3313	4699
id60	0	0	0	0	0	0	0	0	0
id61	0	0	0	0	0	0	0	0	0
id62	0	5	0	0	0	0	0	0	0
id63	0	0	0	0	0	0	0	0	0
id64	0	0	0	0	0	1	0	0	0
id65	0	0	489	0	0	697	0	207	0
id66	0	14	0	0	1629	0	0	0	0
id67	0	0	31	0	0	0	0	0	0
id68	0	0	0	0	0	0	1	0	0
id69	0	0	0	0	0	0	0	0	0
id7	0	0	0	0	0	0	0	0	0
id70	83	7	0	0	0	0	0	0	21
id71	0	0	0	0	0	0	0	0	0
id72	0	9	178	0	0	165	0	100	8
id73	0	0	298	4413	0	4	0	415	0
id74	0	1	0	0	0	0	0	0	3
id75	2	16430	2187	11401	5785	647	326	6259	48184
id76	0	0	0	0	34	0	24	0	0
id77	0	0	0	0	3	0	0	0	0
id78	0	2	10442	0	14	13724	251	263	0
id79	0	0	0	0	0	0	0	0	0
id8	0	0	0	0	0	0	0	0	0
id80	0	0	0	0	0	0	0	0	0
id81	0	86	0	18350	13533	0	0	0	0
id82	0	0	0	0	0	0	0	0	0
id83	0	0	0	0	0	0	0	0	0
id84	0	0	0	0	0	0	0	0	0
id85	0	0	0	0	0	0	0	0	0
id86	0	0	0	0	0	0	0	0	0
id87	0	0	0	0	0	0	0	0	0
id88	0	0	0	0	0	0	0	0	0
id89	0	0	0	0	0	0	0	0	0
id9	0	3	3	0	0	0	376	15	7
id90	0	34	0	0	4407	0	0	0	0
id91	0	0	0	0	0	0	0	0	0
id92	0	10	0	0	925	0	0	0	0
id93	0	0	0	0	0	0	0	0	0
id94	0	0	0	0	0	0	0	0	0
id95	0	0	0	0	0	0	0	0	0
id96	1	1	769	25	1	6948	5	76	0
id97	0	0	249	0	0	110	0	53	0
id98	0	0	0	0	0	0	0	0	0
id99	0	0	146	3	0	80	15	31	0
