#OTU ID	HKBea1Feb	HKBea2Feb	HKBea3Feb	HKSW1Feb	HKSW2Feb	HKSW3Feb	HKSta1Feb	HKSta2Feb	HKSta3Feb
id330	0.588235294	1.176470588	0.294117647	1.470588235	0.294117647	4.705882353	0.294117647	1.176470588	1.176470588
id331	10	9.411764706	9.117647058	7.352941176	5.588235294	5.588235294	2.352941176	2.647058823	4.411764706
id332	0	0	0	0	0	0	0	0	0
id333	63.33333333	53.33333333	74.44444444	16.66666667	11.11111111	56.66666667	45.55555556	7.777777778	22.22222222
id334	0	0	0	0	0	0	0	0	0
id335	118.8888889	73.33333333	120	40	34.44444444	234.4444445	27.77777778	15.55555556	275.5555555
id336	0	0	0	0	0	0	0	0	0
id337	0	0	0	0	0	12.22222222	0	0	5.555555556
id338	0	0	0	0	0	0	0	0	0
id339	0.108695652	0.108695652	0.108695652	0.163043478	0.108695652	0.326086957	0	0.108695652	0.27173913
id34	0	0	0	0	0	0	0	0	0
id340	0	0	0	0	0	0	0	0	0
id341	16.35869565	25.43478261	17.55434783	7.391304347	5.706521739	21.68478261	9.293478261	8.695652174	7.173913043
id342	8.75	6.902173913	6.956521739	8.097826087	6.358695652	28.58695652	5.27173913	4.239130435	6.358695652
id343	148.6956522	140.7608696	158.6956522	101.9565217	99.29347826	363.2608696	96.46739131	70.16304348	113.5326087
id344	0	0	0	0	0	0.054347826	0	0	0.054347826
id345	0.054347826	0	0	0.054347826	0.054347826	0	0.054347826	0	0
id346	0	0	0	0	0	0	0	0	0
id347	147.7717391	132.3369565	129.6195652	237.3369565	165.5434783	52.77173913	138.423913	129.7282609	394.2391304
id348	7.010869565	11.73913044	1.413043479	1.086956522	0.97826087	1.467391304	0.869565217	0.652173913	4.891304348
id349	0	0	0	0	0	0	0	0	0
id35	0	0	0	0	0	0	0	0	0
id350	9.836956522	6.739130434	7.391304348	7.282608696	8.152173913	26.19565217	4.565217391	5.43478261	8.641304349
id351	2.282608696	3.967391304	2.5	0.054347826	0.27173913	0.108695652	3.206521739	0.163043478	0.163043478
id352	4.456521739	2.010869565	4.402173913	1.684782609	1.902173913	1.576086957	1.086956522	2.119565217	0.380434783
id353	0	0	0	0	0	0	0	0	0
id354	810.7608696	850.2717391	661.7934783	1126.032609	1252.5	984.9456522	1018.804348	1451.847826	948.1521739
id355	133.2065217	167.3369565	194.7282608	36.73913044	46.52173913	11.25	141.1956522	32.77173913	88.5326087
id356	0	0	0	0	0	0	0	0	0
id357	3.858695652	1.413043479	1.141304348	0.706521739	0.27173913	1.141304347	3.804347826	0.815217391	2.119565216
id358	0	0	0	0	0	0	0	0	0
id359	12.88043478	7.717391304	11.52173913	2.608695652	2.282608695	3.75	4.184782608	1.95652174	1.956521739
id36	3	1	9	6	21	1	17	34	4
id360	7.445652175	7.06521739	8.913043477	1.684782609	1.195652174	8.152173911	4.076086957	1.684782608	5.326086956
id361	0.706521739	0.054347826	0.597826087	0.380434783	0.054347826	0.869565217	0.597826087	0.163043478	0
id362	0.217391304	0.054347826	0	0.054347826	0	0	0	0	0.163043478
id363	0.217391304	0	0	0	0	0.217391304	0	0	0.163043478
id364	0.217391304	0	0.054347826	0	0.054347826	0.27173913	0	0	1.032608695
id365	0.108695652	0	0.163043478	0.217391304	0.380434783	5.380434783	0	0.108695652	0.869565217
id366	0	0	0	0	0	0	0	0	0
id367	1.79347826	0.652173913	7.119565218	1.195652174	0.869565217	0.434782608	1.956521739	0.652173914	0.054347826
id368	0.27173913	0	0	0	0	0	0.054347826	0.054347826	0
id369	0.054347826	0	0	0	0	0	0	0	0
id37	153	122	348	280	572	378	360	35	34
id370	17.06521739	12.44565217	7.77173913	2.173913044	5.489130434	5.326086955	7.717391304	2.663043478	10.81521739
id371	0	0.054347826	0	0	0	0	0	0	0
id372	0	0	0	0.108695652	0.108695652	0.27173913	0	0.054347826	0
id373	0.434782609	0.108695652	0.489130435	0.054347826	0.108695652	0.054347826	0.054347826	0	0.108695652
id374	0	0	0	0	0	0	0	0	0.054347826
id375	0.815217392	0.70652174	0.706521739	0.163043478	0.163043478	0.217391304	0.27173913	0.217391304	0.217391304
id376	0.054347826	0	0.27173913	0.163043478	0	0.27173913	0	0.054347826	0.054347826
id377	1.413043478	0.543478261	0.326086957	0.489130435	0.597826087	1.902173913	0.869565217	0.326086957	2.717391304
id378	10.97826087	7.391304348	11.84782609	5.326086957	5.108695653	7.119565217	5.163043477	2.989130435	2.717391303
id379	11.6	23.2	31.6	16.4	8.8	20.8	22.8	6.4	16.8
id38	14271	6495	10177	12247	28475	9633	14196	15795	5742
id380	0	0	0	0	0	0.8	0	0	1.6
id381	74.8	65.6	155.2	148.8	66	97.6	111.2	49.6	80.4
id382	6.8	4	13.6	14	8.8	23.6	8.8	2	12
id383	0	0	0	0	0	0.8	0	0	1.6
id384	24.4	44	41.2	30.4	17.2	66.8	54.4	11.6	23.6
id385	0.4	0	2.4	0	0	0.4	0	0.4	0
id386	2.8	0.8	29.2	24.8	8.4	7.6	5.2	1.6	2.8
id387	114.4	25.2	953.2	604.8	341.2	95.2	169.6	41.6	41.2
id388	70.8	87.6	216	41.6	29.2	62	66.4	17.6	36.4
id389	2.4	0.4	4	2	0.4	9.2	2	0	2
id39	0	0	0	0	0	0	0	0	0
id390	2	3.6	2	2	0.4	4	4.8	2.4	4
id391	4.4	4.8	0.8	0.4	0	2.8	0	0	0.8
id392	11.2	17.2	11.2	6.8	4	19.6	12.4	4	12
id393	34.28571429	5.714285714	1.428571429	1.428571429	1.428571429	1.428571429	0	0	0
id394	248.5714286	174.2857143	192.8571429	91.42857144	44.28571429	87.14285714	228.5714286	27.14285715	124.2857143
id395	307.1428572	212.8571428	245.7142857	62.85714286	27.14285714	85.71428573	158.5714286	44.28571428	114.2857143
id396	2.857142857	8.571428571	24.28571429	1.428571429	4.285714286	0	4.285714286	0	0
id397	60	108.5714286	61.42857143	8.571428571	8.571428571	1.428571429	84.28571429	7.142857143	12.85714286
id398	25.71428571	11.42857143	14.28571429	2.857142857	1.428571429	1.428571429	11.42857143	2.857142857	1.428571429
id399	85.71428571	75.71428571	71.42857143	14.28571429	4.285714286	20	28.57142857	10	37.14285714
id4	0	0	0	0	0	0	0	0	0
id40	1400	3	13	6	8	0	0	11	0
id400	4.285714286	1.428571429	0	0	0	0	0	0	2.857142857
id401	753.3333333	428.3333334	1413.333333	366.6666667	241.6666667	506.6666666	510	136.6666667	423.3333333
id402	0.736196319	0.429447853	1.349693252	0.920245399	0.306748466	0.490797546	0.061349693	0.061349693	0.552147239
id403	0	0	0	0	0	0	5.714285714	0	0
id404	0	0	0	0	0	0	0	0	0
id405	0	31.42857143	4.285714286	0	0	1.428571429	28.57142857	0	0
id406	214.2857143	28.57142857	75.71428572	17.14285715	8.571428572	0	12.85714286	17.14285714	2.857142857
id407	138.5714286	10	37.14285715	152.8571429	17.14285714	52.85714286	82.85714286	12.85714286	31.42857143
id41	0	0	0	0	0	0	0	0	0
id42	43	2205	10239	1039	89	0	1376	862	57
id43	0	0	67	0	0	0	0	0	0
id44	0	0	0	0	0	0	0	0	0
id45	0	0	29	0	0	0	0	0	0
id46	95	11	63	42	419	47	0	1464	0
id47	0	0	0	0	0	0	0	0	0
id48	2	1	2	2	18	1	0	736	0
id49	0	0	0	0	0	0	0	0	0
id5	1	0	0	0	0	0	0	0	394
id50	567	117	368	126	6429	77	1794	2525	0
id51	0	0	2	52	8	0	19	372	0
id52	0	0	0	0	0	2524	0	4	0
id53	0	0	0	14	0	10	31	10	0
id54	0	0	0	0	0	0	0	0	0
id55	0	0	0	0	0	0	0	0	0
id56	0	0	0	0	0	0	0	0	0
id57	7	0	0	0	0	4336	0	0	0
id58	0	0	0	0	0	0	0	0	0
id59	0	0	0	0	0	1616	0	0	0
id6	2926	314	2760	117	2245	291	787	1076	2435
id60	11	0	14	0	0	0	0	1	0
id61	0	0	0	0	0	0	0	7	0
id62	0	0	0	0	0	0	0	0	0
id63	11	0	0	0	0	24	0	0	0
id64	0	0	0	26	0	0	1	0	0
